county,county_std,total,value_used,centered_value,lag_centered_value,local_I,z_score,p_value,lisa_class,variable
Blount,BLOUNT,7,7,-4.842105263157896,-2.8421052631578965,0.0567985640298627,0.392495565825915,0.6946920870212423,Not significant,raw_total
Marshall,MARSHALL,1,1,-10.842105263157896,-8.442105263157895,0.37776990179153286,1.2589807157065753,0.2080372973848879,Not significant,raw_total
Cullman,CULLMAN,3,3,-8.842105263157896,-5.842105263157896,0.213200407010644,0.8459458785286885,0.3975829371032508,Not significant,raw_total
Mobile,MOBILE,0,0,-11.842105263157896,-4.042105263157896,0.19756022271256585,0.6346174831266599,0.5256779228388481,Not significant,raw_total
Colbert,COLBERT,0,0,-11.842105263157896,-11.042105263157895,0.539689254233025,1.552220469016637,0.12060947999269422,Not significant,raw_total
Pike,PIKE,13,13,1.1578947368421044,3.7578947368421045,0.01795877302296867,0.4756848974517665,0.6342988819563892,Not significant,raw_total
Lawrence,LAWRENCE,0,0,-11.842105263157896,-11.042105263157895,0.539689254233025,1.6312073363272332,0.10284657783520897,Not significant,raw_total
Madison,MADISON,1,1,-10.842105263157896,-11.042105263157895,0.4941154949866806,1.5829708201318764,0.11342811538316039,Not significant,raw_total
Shelby,SHELBY,13,13,1.1578947368421044,5.957894736842104,0.02847245246778786,0.8885770742322674,0.3742304166426568,Not significant,raw_total
Talladega,TALLADEGA,33,33,21.157894736842103,7.757894736842105,0.6774532109252632,1.192116507171009,0.2332155652941332,Not significant,raw_total
Jefferson,JEFFERSON,22,22,10.157894736842104,-0.8421052631578965,-0.03530474350326409,-0.07522906292226941,0.9400324609987372,Not significant,raw_total
Etowah,ETOWAH,9,9,-2.8421052631578956,-0.04210526315789592,4.939005567814188e-4,0.043013574767290064,0.9656907127696674,Not significant,raw_total
Autauga,AUTAUGA,5,5,-6.842105263157896,2.557894736842104,-0.0722329564292819,-0.3740828716853071,0.7083426615345978,Not significant,raw_total
Monroe,MONROE,1,1,-10.842105263157896,-7.242105263157896,0.32407193570146453,1.0834889458774177,0.27859145476267955,Not significant,raw_total
Barbour,BARBOUR,8,8,-3.8421052631578956,11.357894736842105,-0.18010678312963746,-1.574410474793619,0.11539258374723113,Not significant,raw_total
Elmore,ELMORE,31,31,19.157894736842103,7.557894736842104,0.5976013810922977,1.2093453675182646,0.2265301881614824,Not significant,raw_total
Baldwin,BALDWIN,18,18,6.157894736842104,-4.442105263157895,-0.11289743560428507,-0.5963563478056019,0.5509371955388557,Not significant,raw_total
Montgomery,MONTGOMERY,26,26,14.157894736842104,-0.6421052631578963,-0.03752043627882519,-0.05586091445452668,0.9554526079321003,Not significant,raw_total
Houston,HOUSTON,66,66,54.1578947368421,3.3578947368421046,0.7505710725187785,0.7934048067480717,0.42754201112802,Not significant,raw_total
Jackson,JACKSON,0,0,-11.842105263157896,-10.442105263157895,0.5103639086741285,1.5598120022791124,0.11880431430895437,Not significant,raw_total
Lauderdale,LAUDERDALE,0,0,-11.842105263157896,-11.042105263157895,0.539689254233025,1.6866240768695424,0.0916756593171416,Not significant,raw_total
DeKalb,DEKALB,0,0,-11.842105263157896,-8.642105263157895,0.42238787199743905,1.3464281793535973,0.1781644681440639,Not significant,raw_total
Dallas,DALLAS,0,0,-11.842105263157896,0.9578947368421038,-0.04681765694490495,-0.09399574145262793,0.9251125395887716,Not significant,raw_total
Clay,CLAY,17,17,5.157894736842104,7.357894736842105,0.15663507379926145,1.0269311587076522,0.3044528810907185,Not significant,raw_total
